id,position,company
20283,Softare Engineer,Hooli
20284,Co-op Pre-Professional Software Engineer,IBM
20285,Technical Assistant,St. Mary's School
20286,Software Engineering Intern,Globys
20287,Software Developer Intern,TLA Acquisition Corp
20288,Per Diem Registered Nurse,Swedish
20289,Charge Nurse,Swedish
20290,Registered Nurse,Swedish
20291,Peer Mentor,Seattle University
20292,President,Indonesian Student Association at the University of Washington (ISAUW)
20293,Peer Mentor - Office of Undergraduate Research,University of Central Florida
20294,Undergraduate Researcher - Networking and Mobile Computing Lab,University of Central Florida - College of Engineering & Computer Science
20295,System Engineer / Senior Software Developer,Microsoft
20296,System Engineer / Software Dev,Engyro Corp
20297,System Engineer,Dirigo Inc
20298,Network Engineer,Cinergy Corp (Cincinnati Gas and Electric Co)
20299,Plugin Developer,Self
20300,Student Software Developer,Jefferson Lab
20301,Interlibrary Loan Student Assistant,CNU Trible Library
20302,Business Analytics Specialist,Microsoft
20303,Solutions Engineer,Microsoft
20304,Software Engineer,Muirfield Energy
20305,IT Support Specialist,The Ohio State University
20306,Senior Subject Matter Expert,Microlink Inc. 
20307,IT Support Technician,Allen Technologies
20308,Product Representative / Sales,ActionLink
20309,Software Developer,Free lance
20310,Technical Product Manager,Lagotek Corp.
20311,Senior Software Design Engineer in Test,Lionbridge
20312,Sr. Software Design Engineer,Microsoft
20313,Senior Software Developer,PRO Unlimited (Facebook)
20314,Sr. SDE,Beyondsoft (Microsoft)
20315,Business Intelligence - Marketing Analyst,Microsoft
20316,President / CEO,Seattle Digital Signage
20317,Software Developer,City of Seattle
20318,Software Consultant,Comsys
20319,Software Engineer II,SpaceX
20320,Robotics and Vision Engineer,iRobot
20321,Research Assistant,UC Santa Barbara
20322,Systems Intern,"QBotix, Inc."
20323,Systems Intern,QBotix
20324,Research Intern,NASA - National Aeronautics and Space Administration
20325,Software Developer,Consulting
20326,IT Specialist III - Software Applications & Developer ,PacifiCorp
20327,ETL Developer,Best Consulting / Multnomah County Department of Family Services
20328,Technical Lead / Director of Operations,HealthWare Solutions Group
20329,ETL Developer,"Sound Response, LLC."
20330,Lead Developer,Propac Pharmacy
20331,Computer Science Teacher,The Coding School
20332,Teaching Assistant,USC Viterbi School of Engineering
20333,Viterbi Student Ambassador,University of Southern California
20334,Explorer Intern on the Xbox Application Platform team,Microsoft
20335,Lab Technician,"Enviro Sciences, Inc"
20336,Engineering Manager,Instacart
20337,Sr. Manager Engineering,Hortonworks
20338,Member Technical Staff,Hortonworks
20339,Software,Hewlett Packard
20340,Student Researcher,Dark Matter in CCDs
20341,Fabrication Lab Intern,Polsky Exchange for Entrepreneurship and Innovation 
20342,Full Stack Software Engineer,REI Systems
20343,Full Stack Developer,"Antra, Inc."
20344,Intern Research Assistant,Syracuse University
20345,Student Assistant,San Jose State University
20346,Software Developer Intern,Promaxo
20347,Software Developer at BetaTest Solutions,BetaTest Solutions
20348,Developer Intern for IBM Watson,IBM
20349,Business Technology Analyst,Deloitte U.S India
20350,Chief Technical Officer-Hardware,IEEE-TSEC
20351,Conatus Officer,IEEE-TSEC
20352,Software Developer,Deloitte
20353,Customer Service Representative,Arizona State University
20354,Networking Intern,Cyberoam
20355,Software Engineer Apprentice (LEAP Program through InConsulting),Microsoft
20356,Software Developer,buildpulse
20357,Medical Laboratory Scientist,University of Washington Medical Center
20358,Medical Laboratory Science Externship,UW Laboratory Medicine
20359,Research Assistant,UW Medicine
20360,Software Engineer Internship,Virtual Instruments
20361,Software Developer,ClearSharp Technology Pvt Ltd
20362,Full Stack iOS Software Engineering Intern/Project Lead,Denali System US
20363,Research Assistant Intern,Pleasure Point Orchards Agricultural Consulting
20364,Web Design Intern,Badge List
20365,Senior Technical Program Manager,Google
20366,Software Developer,NetApp
20367,Software Developer,Novell
20368,Software Engineer (MTS III),VMware
20369,Sr. Software Engineer,Wave Systems Corp.
20370,"Academic Tutor: Computer Science, Mathematics and Language",Various firms
20371,Software Application Developer,Coop financial services
20372,Software Engineer,Global
20373,Senior Software Engineer,CSC Corptax
20374,Software Developer,"Computer Services, Inc."
20375,Software Engineer Intern,Coyote Logistics
20376,Intern - Software Engineer/Database Designer,ComEd
20377,Guest Relations,The Field Museum
20378,Software Engineer,Spatial
20379,Industry Teaching Assistant,Cornell Tech
20380,Director of Engineering,Oblix
20381,Co-Founder & CTO,The Body VR
20382,Unity VR Developer,Samsung Accelerator
20383,Unity VR Developer,YouVisit
20384,Lead VR Developer,"Bravo Media, Inc."
20385,Graduate Research Assistant,Arizona State University
20386,Software Developer Intern,Intel
20387,Senior Software Engineer,Samsung R&D Institute India
20388,Software Engineer,Samsung R&D Institute India
20389,Officer; Applications Programming Consultant,"Bank of America, Merrill Lynch"
20390,Owner,GSComputers
20391,Quality Assurance Test Engineer,Cisco Systems
20392,Software Engineer,Mi
20393,Machine Learning Research Intern,"NEC Laboratories America, Inc."
20394,Research Intern,SenseTime商汤科技
20395,Graduate Student Researcher,"University of California, Los Angeles"
20396,Software Engineering Intern,Lucera Labs
20397,Associate Software Engineer,Accenture India
20398,Master's Project,IBM/RPI Cognitive Immersive Systems Lab (RPI CISL)
20399,Software Development Intern,S&P Global Market Intelligence
20400,Laboratory Monitor,Douglas Mercer ’77 Laboratory for Student Exploration and Innovation (RPI)
20401,Software Intern,Transitional Data Services - TDS
20402,Research Assistant – Optical Systems,Rensselaer Polytechnic Institute
20403,"Software Engineer II, Device Discovery",Microsoft
20404,"Systems Software Engineer II, VPN",BlackBerry
20405,"Software Developer, Media Transport",BlackBerry
20406,"Software Designer, Access Group",EXFO
20407,Junior Programmer/Analyst,Kubra Data Transfer
20408,Junior Software Engineer (Intern),AMD
20409,Software Development Engineer,Clearwater Analytics
20410,Implementation Consultant,"Fast Enterprises, LLC"
20411,Research Assistant,Washington State University
20412,Postdoctoral Fellow,University of Toronto
20413,Part-Time Lecturer,University of Waterloo
20414,Research Assistant,University of Waterloo
20415,Teaching Assistant,University of Waterloo
20416,Software Intern,Google
20417,Software Developer,Nanometrics Seismological Instruments
20418,Research Assistant,IBM Canada Ltd.
20419,Software Developer,Natural Resources Canada
20420,Software Developer,Public Service Commission of Canada
20421,Software Intern,Corel Corporation
20422,Co-Founder,Transform
20423,Engineering Manager,Airbnb
20424,Staff Software Engineer,Airbnb
20425,Co-Founder,Airway Rescue
20426,XR Industry Consultant,Various
20427,Interim CTO,XR Startup
20428,Tech Ventures,HP
20429,Office of the CTO,HP
20430,VR Evangelist,HP
20431,Senior Software Engineer - Sprout,HP
20432,Senior Software Engineer - HP Catalog,HP
20433,Principal HTML5 Developer,eveo
20434,Javascript Ninja,Apple Inc.
20435,Principal Software Developer,XOJET
20436,Senior Internet Engineer - Consultant,3jam
20437,CTO - Consultant,ThinkingVoice Networks
20438,Sidebar Gadget Developer,Microsoft
20439,Senior Internet Engineer,America Online
20440,Consultant - Senior Internet Engineer,Mercora
20441,Consultant - Senior Software Engineer,McAfee
20442,Senior Internet Engineer - Widget Developer MAC Platform,AOL LLC
20443,Consultant,BioCentury Publications Inc.
20444,Senior Internet Engineer - Consultant,MS2
20445,Senior Internet Engineer,Upshot
20446,Senior Internet Engineer,Webvan
20447,Senior Internet Engineer,Macromedia
20448,ECE 120 (Introdution to Computing) Lead UA,University of Illinois at Urbana-Champaign
20449,Cloud Software Engineer Intern,AGCO Corporation
20450,"ECE 120, ECE 110 UA",University of Illinois at Urbana-Champaign
20451,Software Engineer Intern,"Charmworks, Inc."
20452,Manager - Marketing and Information Staff,Michigan Marching Band
20453,Analyst - Marketing and Information Staff,Michigan Marching Band
20454,Software Engineering Intern,"ShipBob, Inc."
20455,Summer Intern,The Impact Lab
20456,Program Instructor,Code Play Learn
20457,Head Camp Counselor - Camp Shalom,Oak Park Temple B’Nai Abraham Zion
20458,Religious Education Instructor - Primary Teacher,Oak Park Temple B’Nai Abraham Zion
20459,Camp Counselor - Camp Shalom,Oak Park Temple B’Nai Abraham Zion
20460,Religious Education Instructor - Teacher's Assistant,Oak Park Temple B’Nai Abraham Zion
20461,Teacher Assistant CS 240 and CS 252,Purdue University
20462,Software Engineering Intern (Remote),Microsoft
20463,Software Enginnering Intern / Explorer,Microsoft
20464,Student Contractor in Software Verification Engineering,Aptiv
20465,Midshipman 4th class,US Navy
20466,CSSI,Google
20467,Software Engineering Intern,Tesla
20468,Software Engineering Intern,Shippo
20469,Software Developer,DF/Net Software
20470,Software Test Engineer,Ultimate Software
20471,Software Developer,McMaster University
20472,Infrastructure Engineering Intern,Uber
20473,Mapping Developer,Avidbots Corp.
20474,Full-Stack developer Intern ,Maiyike
20475,Software Engineer Intern,Huawei
20476,Research Assistant,Singapore Management University
20477,Server-side Developer,Little Giant Agency
20478,Junior Server-side Developer,Little Giant Agency
20479,Summer research scholarship - Software engineering,The University of Auckland
20480,Remote Web Developer,Spinning Planet Web Design and Internet Marketing
20481,Summer intern - Web Application Developer,Spinning Planet Web Design and Internet Marketing
20482,SDE Summer (Analyst) Intern,RBC Capital Markets
20483,Research Assistant,Qatar Computing Research Institute
20484,Summer Research Assistant,Qatar Computing Research Institute
20485,Summer Intern,Qatar Computing Research Institute
20486,Research Assistant,"Visvesvaraya National Institute of Technology, Nagpur"
20487,Campus Ambassador,Equity Research Initiative
20488,Software Engineering Intern,CSC
20489,Software Engineer Intern,Confluent
20490,Android Software Developer,CyLab
20491,Teaching Assistant (Individual Study),Donald Bren School of Information 
20492,Research Assistant (Individual Study),Donald Bren School of Information 
20493,Job Shadow Participant,Oracle
20494,Java Lab Tutor,UC Irvine Donald Bren School of Information and Computer Sciences
20495,System Supporting Technician,TruffleKids
20496,Python Lab Tutor,UC Irvine Donald Bren School of Information and Computer Sciences
20497,Job Shadow Participant,Identiv
20498,Mobile Applications Developer Intern,AccuWeather
20499,Graduate Assistant,University of Florida
20500,Software Engineering Intern,SpringRole Inc.
20501,Junior Software Developer,Abis Software Gmbh
20502,Software Research & Development Co-op,"Innovative Systems, Inc."
20503,Web Maintenance Intern (Remote Position),Sprouts Cooking Club
20504,Supplemental Instruction (SI) Leader,Case Western Reserve University
20505,Customer Service Assistant,Case Western Reserve University Housing
20506,President,International Club at Case Western Reserve University
20507,Peer Tutor,Case Western Reserve University
20508,Orientation Leader,Case Western Reserve University
20509,Machine Learning Engineer,Boeing
20510,Graduate TA for 11695(Competitive Engineering: Deep Learning Algorithm with Tensorflow),Carnegie Mellon University
20511,Software Engineer Internship,Qubole
20512,Technology Solutions Specialist ,Exponea
20513,Junior Backend Developer,Bookmate
20514,Programming teacher,1C Company
20515,Software Developer III,Hearst Digital Marketing Services
20516,Software Developer II,Hearst Digital Marketing Services
20517,Web Developer,Nabors Industries
20518,Web Developer(Graduate Assistant),"GISO,University of Houston"
20519,"UI/UX Developer,Web developer",Ashayam Technologies
20520,Application Developer,BNY Mellon
20521,Summer Intern | Software Developer,NASA Goddard Space Flight Center
20522,Software Engineering Intern,United States Department of Defense
20523,Logger,Miranda Printing
20524,"Software Engineer Intern, Core Mgmt. Dev R&D",Microsoft
20525,Graduate Reseach Assitant,The School of Civil and Environmental Engineering at the Georgia Institute of Technology (CEEatGT)
20526,Developer,The D. E. Shaw Group
20527,Member Tech,D. E. Shaw India Software Private Limited
20528,Intern,Yahoo
20529,Intern,Indian Institute of Remote Sensing
20530,Software Engineer,Sears Holdings Corporation
20531,Software Engineer,CVS Health
20532,Software Developer Internship,"Buttonwood Group Trading, LLC"
20533,Web Developer Intern,PINGLINE
20534,Software Engineer,Turbonomic
20535,Graduate Teaching Assistant,"University of California, San Diego - Jacobs School of Engineering"
20536,Full Stack Developer,Accolite
20537,Project Manager,College of Engineering Pune Webteam
20538,System Software Intern,NVIDIA
20539,PHP Web Developer,SportZozo
20540,Technical Team Member,Google Student Club - COEP
20541,Software Developer,Florida Institute of Technology - ERC Department
20542,Web Developer Intern,Smithsonian Institution
20543,Software Developer,Courteville Business Solutions Plc
20544,Software Developer,JIL INC
20545,Student Software Engineer (Unilorin Anti-Plagiarism Software),University of Ilorin
20546,Industrial Trainee,NAFDAC Nigeria
20547,Lead Software Developer - Co-Founder,Bytonomy Tech
20548,Software Engineer,IFS
20549,Stat Crew,Milwaukee School of Engineering
20550,QA Tester,Jackbox Games
20551,Web Developer Intern,"Doubleberry Interactive, LLC"
20552,Software Engineer Internship,Cognex Corporation
20553,Software Test Engineering Intern,Endeavor Robotics
20554,Software Test Engineering Intern,iRobot
20555,Software Engineering Intern,Olympus Scientific Solutions Americas
20556,Editor,WMPoweruser.com
20557,Developer/Designer,WMPoweruser.com
20558,Developer/Designer,Indie Developer
20559,Assistant Instructor,American Taekwondo Association
20560,Software Engineering Intern - Admin Team,BrightRoll
20561,Software Intern,Floktu
20562,Front End Web Development Intern,Disney Mobile
20563,Software Engineer - Microsoft,MYAPPSHUB LLC
20564,Software Engineer Intern,SAP
20565,Software Developer,Neudesic
20566,Software Developer,People Tech Group Inc
20567,Javascript Instructor,People Tech Group Inc
20568,Software Developer Apprentice,People Tech Group Inc
20569,UI Developer Intern,People Tech Group Inc
20570,Web Developer Internship,Prosper IT Consulting
20571,Sales Associate,OfficeMax
20572,English Second Language Teacher,Gloria English Schools
20573,Freelance Software Engineer,BuildMyBod®
20574,Software Engineering Intern,FactSet
20575,Owner,Treehouse Technologies
20576,Software Developer Intern,Aetna
20577,IT Intern,OpenSky Corp
20578,Independent Software Developer,Transform Technology Consulting
20579,Computer Repair Technician,Transform Computer Repair
20580,Waiter,Elim Park Baptist Home
20581,Course Producer - Database [CSCI-585],University of Southern California
20582,Course Grader - Machine Learning for Data Science [DSCI-552],University of Southern California
20583,IMSC Lab Research Assistant Intern ,University of Southern California
20584,"Software Engineer Intern, Remote Config, AI ",Unity Technologies
20585,Research Intern (AI Lab),Gachon University
20586,Education Volunteer,Rainbow Hill Multicultural Center
20587,Software Developer,Safetia
20588,Software Engineer II (Cloud and AI),Microsoft
20589,Software Engineer II (Paypal Credit and Working Capital),PayPal
20590,Graduate Teaching Assistant,Arizona State University
20591,Software Developer Intern,Oracle
20592,Student Intern,Bharat Dynamics Limited
20593,Web Developer Intern,Centre for Development of Imaging Technology
20594,Software Developer,BECU
20595,Technical deployment specialist,Sterling Talent Solutions
20596,Receptionist,Novitex Enterprise Solutions
20597,Project Coordinator,BrickRed Systems
20598,Graduate Teaching Assistant,Kansas State University
20599,Student Web Developer,Kansas State University
20600,Software Development Intern,Mytrah Energy
20601,Software Engineer 2,PayPal
20602,Application Developer II,Oracle
20603,Teaching Assistant,"Birla Institute of Technology and Science, Pilani"
20604,Teaching Assistant,Birla Institute of Technology and Science Pilani
20605,Project Assistant,Birla Institute of Technology and Science Pilani
20606,R&D Engineer,Nokia Siemens Networks
20607,Software Developer,Markit
20608,Software Developer,Fiserv
20609,Associate Software Engineer,Cyzent Technologies Ltd.
20610,Java Developer/ Systems Engineer,Wells Fargo
20611,Java Developer,Sabre Airline Solutions
20612,Web Developer,UNC Charlotte
20613,Software Engineer Intern,EFFTRONICS SYSTEMS PRIVATE LIMITED
20614,Software/Firmware Engineer,Microsoft
20615,Hardware Engineering Intern,Microsoft
20616,Software Lead,University of Waterloo Robotics Design Team
20617,Embedded Software Developer (Co-op),eleven-x
20618,Coop Student,Additive Manufacturing Lab
20619,Embedded Software Engineer,Imagine Communications
20620,Baker,Sobeys
20621,Technical Mentor,Outco Inc.
20622,Software Engineer,Qolsys
20623,"Software Engineer, Mentor",Dev Bootcamp
20624,Component Design Engineer,Intel Corporation
20625,Associate,Pariveda Solutions
20626,Senior Consultant,Pariveda Solutions
20627,Consultant,Pariveda Solutions
20628,Intern Consultant,Pariveda Solutions
20629,Application Developer,InCentrik
20630,Intern Software Developer,Bentley Systems
20631,Supplemental Instructor,LSU College of Engineering
20632,Lead Parking Attendant,Elite Valet Services
20633,Summer Intern,University of Victoria
20634,Summer Intern,Indian Institute of Remote Sensing
20635,.Net Developer,The Cohen International Group [TCIG]
20636,Software Development Engineer,HARMAN International
20637,Software Developer,Achievers Hi-Tech United Software Solutions
20638,Software Developer,Shopify
20639,Freelance Web Developer,Self-Employed
20640,Software Engineering Intern,Credit Karma
20641,Software Developer,Vidyard
20642,Software Developer Intern,Vidyard
20643,Software Developer Contractor,Vidyard
20644,Full Stack Software Engineer,Joist
20645,Web Application Developer,kenna:
20646,Customer Service Representative,STAPLES Canada
20647,Software Engineer (Consultant),Microsoft
20648,Software Engineer,United Airlines
20649,Web Applications Developer,National Oilwell Varco
20650,Junior Software Developer,CMC LTD
20651,Undergraduate TA - CSE 351 HW SW Interface,University of Washington
20652,Engineering Intern,MicaSense
20653,Azure Software Engineer Intern,Microsoft
20654,Software Developer Intern,Tyler Technologies
20655,Tutor,Lone Star College
20656,Graduate Teaching Assistant-- Medical Engineering,Caltech
20657,Connectivity Team Intern,iRobot
20658,Intership,21st Century Education
20659,"Intern,",Microsoft
20660,Course Assistant,Stevens Institute of Technology
20661,Cyber Security Co-op,LGS Innovations
20662,Software Developer Intern,SPHERE Technology Solutions
20663,IT Intern,K2 Intelligence
20664,Grader,Stevens Institute of Technology
20665,Summer Associate,Altice Media Solutions
20666,Full Stack Software Developer,Microsoft
20667,Intern,INROADS
20668,Resident Advisor,Office of Student Living - Syracuse University
20669,Software Engineering Intern,Mastercard
20670,Intern,"PBLC, Inc"
20671,Assoc. Software Developer,T-Mobile
20672,Software Development Intern,T-Mobile
20673,Application Monitoring Intern,T-Mobile
20674,Independent Contractor,Lionbridge
20675,Administrative Assistant,University of Denver
20676,Undergraduate Researcher,"Vehicle Systems and Controls Laboratory, Texas A&M University"
20677,Firmware Engineering Intern,"Stocked Robotics, Inc."
20678,Student Researcher,"Aggie Challenge, Mobile Autonomous Robot for Pipeline Inspection ( MARPI)"
20679,Embedded Design Intern,Technology Kitchen
20680,Design For Test Intern,Advantest
20681,Avionics RIO Intern,SpaceX
20682,Intern,Cosential
20683,Usability Testing Intern,Freescale Semiconductor
20684,iOS Developer,Self Employed
20685,"Founder,Project Manager",VRHS FTC Team 7797
20686,Technology Assistant,Vista Ridge High School
20687,"Web Developer, Graduate IT Assistant",California State University-Dominguez Hills
20688,Research Assistant,California State University-Dominguez Hills
20689,Math Tutor,California State University-Dominguez Hills
20690,Software Engineer,Zetrica Motors Pvt. Ltd.
20691,Intern,Ahmedabad University
20692,Campus Outreach Committee Head,Purdue Science Student Council
20693,Software Engineering Intern,Equinix
20694,Machine Learning Intern,Emorphis Technologies
20695,Enterprise Mobility Intern,Equinix
20696,Computer Science Research Assistant,Xenon1T Collaboration
20697,Software Development Intern,Emorphis Technologies
20698,Pod Remote Interface System Developer,Purdue University Hyperloop
20699,Programs Director,Royal Highlanders Club
20700,iOS developer,Brounie SA de CV
20701,"CodeU Mentorship Program, Participant",Google
20702,Software Engineer,Veeva Systems
20703,Senior Software Engineer,Narvar
20704,Software Engineer,Narvar
20705,Student Assistant - Assistive Technology,"California State University, East Bay"
20706,Software Developer,Cognizant Technology Solutions
20707,Member Of Technical Staff,VMware AirWatch
20708,Software Development Intern,VMware AirWatch
20709,Software Development Co-op,SanDisk
20710,Research Intern,Ghent University
20711,IT Intern,ONGC
20712,Team Leader,AIESEC
20713,Full Stack Developer,Resilinc
20714,Lead Full Stack Web Developer,University of Southern California
20715,Student Technical Lead,University of Southern California
20716,Project Intern,Indian Institute of Science
20717,Android Developer Intern,Innova Technology Solutions
20718,Software Engineer,Volkswagen Automotive Cloud
20719,Software Engineer in AI,Taunt
20720,Full Stack Web Developer and Analyst,"Ministerio de Energía,Turismo y Agenda Digital"
20721,Full Stack Software Engineer and Analyst,Athena Systems
20722,Research Associate in AI,UNIVERSIDAD DE HUELVA
20723,Graduate Teaching Assistant,UMass Boston
20724,Research Assistant,UMass Boston
20725,Project Programmer,Harvard University
20726,Trainee Developer,SystemSpecs
20727,Senior Software Engineer 2,Citrix
20728,Senior Software Engineer 1,Citrix
20729,Master's Student (Computer Science),Stony Brook University
20730,Software Engineer 2,Citrix
20731,Project Trainee,Texas Instruments
20732,Software Engineer Intern,Solu Technology Partners
20733,Software Engineer,Hexaware Technologies
20734,IT Consultant Lead,University of Rochester
20735,Computer Science Teaching Assistant,University of Rochester
20736,Student Association Web Developer,University of Rochester
20737,Remote Software Developer Intern,Edu.Chat Inc.
20738,Software Developer Intern,Edu.Chat Inc.
20739,Software Development Intern,Amazon Lab126
20740,Software Engineer Intern,"Anhui Xinhe Technology Joint Co., Ltd."
20741,Laboratory Intern,CSS Lab of USTC
20742,Senior Software Engineer,innRoad
20743,Software Engineer,innRoad
20744,Senior Software Engineer,Samsung R & D Institute
20745,Solution Developer,Tata Technologies
20746,SDET III,Microsoft
20747,SDET,"IR2020, LLC"
20748,SDET III,Microsoft Corporation
20749,Software Developer,Dealership Information Systems
20750,Software Developer Intern,Fez Games
20751,Software Engineer II,The Jackson Laboratory
20752,Software Developer,Royal Cyber Inc.
20753,Software Developer - Hybris,Royal Cyber Inc.
20754,Software Engineer,Royal Cyber Inc.
20755,Product Developer Intern,Sparksoft Corporation
20756,Graduate Teaching Assistant - Advance Database Project,University of Maryland Baltimore County
20757,Graduate Student Assistant,University of Maryland Baltimore County
20758,Software Engineer Intern,Scientific Systems and Software International (SSSI)
20759,Data Analyst Intern,Sparksoft Corporation
20760,Software Engineer Analyst,Accenture
20761,"Editor, Entrepreneurship cell,SNDT Santacruz",Shreemati Nathibai Damodar Thackersey Women's University
20762,Senior Software Developer,Vitech Systems Group
20763,Software Developer,Vitech Systems Group
20764,Associate Software Developer,Vitech Systems Group
20765,Developer Intern,New York University
20766,Product Development Intern,Verizon
20767,Software Development Intern,Gupshup
20768,Software Developer,Samnx Pvt. Ltd.
20769,Software Engineer II (Azure SDN - SLB),Microsoft
20770,Software Engineer II (Azure Network Monitoring),Microsoft
20771,Research Assistant,The University of Texas at El Paso
20772,Graduate Teaching Assistant,The University of Texas at El Paso
20773,Software Engineer,CodeCrafters International
20774,"Software Engineer II, Developer Ecosystem Platform R&D",Microsoft
20775,Research Scientist,Enterprise Marketing Hub at Arizona State University
20776,"Software Development Engineer Intern (Scala, Spark, AWS, ScalaTest, Mockito, IntelliJ, VIM, RHEL5)",Amazon
20777,UI Engineer,Veranda Open Source 2D Robot Simulator
20778,Application Developer Co-op,Doosan
20779,Software Developer Intern,CHR Solutions
20780,Cashier,Breadroot Whole Foods Co-op
20781,Software Developer II Career Coach,Microsoft
20782,Software Engineer (SRE) Intern,Concur
20783,System Analyst Intern,Concur
20784,Engineering Intern,"Davido Consulting Group, Inc."
20785,"Eng 2, Software Development Engineer",Comcast
20786,Associate (QA Automation Engineer),MSCI Inc.
20787,Solution Developer (QA Analyst),Deloitte
20788,Technical Assistant,Temple University
20789,PHP Developement Intern,"Hi-Tec Systems, Inc."
20790,Intern (PHP Developer),Elsner Technologies Pvt. Ltd.
20791,Senior Software Engineer,Mavice
20792,Front End Web Developer Intern,EVERFI
20793,Operations Assistant,Towson University
20794,Software Engineer Intern,F5
20795,Software Engineer Intern - MakeCode,Microsoft
20796,Tech Arch Delivery Analyst,Accenture
20797,STARS Student Assistant,UW STARS Program
20798,Software Engineer Intern - .NET Core Developer,Microsoft
20799,Software Engineer,"Aruba, a Hewlett Packard Enterprise company"
20800,Software Engineer Internship,"Aruba Networks, an HP company"
20801,Software Engineer II (Echostar Corporation Aquisition by Dish Network),Dish Network
20802,Software Engineer II,EchoStar Corporation
20803,Programmer Analyst,Zeyospace
20804,Engineering Intern,EchoStar Corporation
20805,Software Developer Internship,CMC LTD
20806,Software Developer Summer Intern,CMC LTD
20807,Senior Software Engineer,Cornerstone OnDemand
20808,Software Engineer,Cornerstone OnDemand
20809,Associate Software Engineer,Cornerstone OnDemand
20810,Software Engineer Intern,Cornerstone OnDemand
20811,Principal Engineer,Tileiton
20812,"Programmer, ITS Enterprise Middleware Applications",University of Southern California
20813,"Developer, AUIA Research Project",USC Ming Hsieh Institute - Department of Electrical Engineering
20814,Senior Systems Engineer,Infosys
20815,Software Engineer Trainee,Infosys
20816,Software Developer Intern,Indiana Legislative Services Agency
20817,Lead Associate Instructor - Information Infrastructure(Python),Indiana University
20818,PHP Web Developer Intern,3rd Cup of Java
20819,Associate Instructor for Python(Information Infrastructure),Indiana University
20820,Project Trainee,Bharat Heavy Electricals Limited
20821,Software Developer Intern,BNY Mellon
20822,Software Developer,Phoneytunes.com
20823,Associate Director,Barings
20824,Sr. Application Developer,Ally
20825,Systems Architect,Pitney Bowes
20826,Systems Engineer,Pitney Bowes
20827,Software Support Analyst,Pitney Bowes
20828,Customer Experience Associate,Pitney Bowes
20829,Software Engineer,Leia Inc.
20830,Software Engineer,"TEMPO Communications, Inc."
20831,Software Developer,Greenlee Textron Inc
20832,Mobile Application Developer,San Diego State University Research Foundation
20833,Software Engineer,Robert Bosch Engineering and Business Solutions Ltd.
20834,Security Services Developer Intern,IBM
20835,Enterprise Swift Developer Intern,IBM
20836,Software Developer,BACelet LLC
20837,Social Media Manager,"iWorkwell, Inc."
20838,Software Developer,GraphWear Technologies
20839,App Lab Intern,Drexel University ExCITe Center
20840,Software Developer Internship,Ciena
20841,Co-op Student,National Research Council Canada / Conseil national de recherches Canada
20842,Undergraduate Teaching Assistant,Carleton University
20843,Software Developer Internship,Ross Video
20844,Dean's Summer Research Internship,Carleton University
20845,Cooperative Education Student,inBay Technologies
20846,Software Engineer,Microsoft (via Zen3 InfoSolutions)
20847,Principal Software Engineer,BD
20848,Technical Lead,Cognizant Technology Solutions
20849,Software Analyst,Verizon
20850,Developer,Indinfotech
20851,Software Trainee,IMImobile
20852,Senior .NET Software Engineer,Ciklum
20853,.NET Engineer,Ciklum
20854,Back-End .NET Developer,StuccoMedia
20855,.NET Developer,GlobalLogic Ukraine
20856,.NET Developer,NCube Ltd
20857,Software Engineer,Persistent Systems Limited
20858,Staff Engineer,Stripe
20859,Technical Lead,Uber
20860,Senior Staff Engineer,eBay
20861,Co-Founder,ProductPlay Inc.
20862,Co-Founder,Odeon
20863,Software Engineer II,Yahoo
20864,Founder,SwipeIt
20865,Design Engineer,NTPC
20866,Engineer,Gammon India Ltd
20867,Summer Intern,Remote Sensing Instruments
20868,Summer Intern,ERDAS
20869,Senior .NET Developer,Wirex
20870,Senior .NET Developer,Ciklum
20871,Senior .NET Developer,GlobalLogic
20872,.NET Developer,DevelopEx
20873,Researcher,UC Berkeley DeepDrive Autonomous Vehicle Research
20874,Firmware Engineer,Intel Corporation
20875,Micromouse Chair,IEEE UC San Diego Branch
20876,Computer Science Tutor,"University of California, San Diego - Jacobs School of Engineering"
20877,Systems Engineer,Northrop Grumman
20878,Micromouse Project Team Member,IEEE UC San Diego Branch
20879,Systems Integration Engineer,Northrop Grumman
20880,Web Developer,Proven Recruiting
20881,Payload Engineer,Northrop Grumman
20882,HCDE Graduate Ambassador,University of Washington Human Centered Design & Engineering
20883,UI/UX Development Intern,Valvora
20884,Software Development Intern and System Admin,ClinImmune Labs
20885,Software Engineer - Full-stack developer,General Motors
20886,Parttime Graduate Student,University of Texas at Austin - Cockrell School of Engineering
20887,Graduate Teaching Assistant,Cornell University
20888,Intern,Widescope Media & Entertainment Network
20889,Software Engineer II,Comcast
20890,OPS software developer,University of Florida
20891,OPS software developer,Scalable software systems (S3) lab
20892,Software Engineer,Hewlett-Packard Enterprise
20893,Sr. Software Developer,Premera Blue Cross
20894,Software Engineer,Kaseya
20895,Software Development Engineer (Contract V-),Microsoft
20896,Application Developer - Information Technology Specialist 4,Washington Utilities and Transportation Commission
20897,Application Developer - Information Technology Specialist 3,Washington State Department of Ecology
20898,Software Test Engineer (Contract A-),Microsoft
20899,.NET Developer - Application Support,GryphTech Inc
20900,Implementation Consultant,Fast Enterprises LLC
20901,Software Quality Assurance Analyst,"Comspec Communications, Inc"
20902,Teaching Assistant,Queen's University
